DATA,1,ZŁ,,,
Bawełna (płótno),1 metr kwadratowy.,,68,-191,-416
Brokat 1,"Gruba, ciężka tkanina jedw./półjedw. poprzetykana sr. nicią; ma wypukłe wzory. 1m2",,68,-192,-418
Brokat 2,"Gruba, ciężka tkanina jedw./półjedw. poprzetykana zł. nicią; ma wypukłe wzory. 1m2",,68,-192,-419
Brosza,Ozdobna.,,69,-193,-420
Buty 1,1pp.,,69,-193,-422
Buty 2,2pp.,,69,-194,-423
Buty z cholewkami do jazdy,2pp.,,69,-195,-424
Buty z cholewkami miękkie,1pp.,,69,-195,-425
Chusta,"Dosyć duża, kolorowa, z bawełny. Można nosić na głowie.",,70,-196,-427
Czapka,"Z wypraw. sk. zająca, ciepła, na uszy. +1 prot. Patrz też: Kapelusz, Nakrycie głowy.",,70,-196,-428
Futro 1,"1m kwadr., skaggerrak. +1 KON w nocy, gdy zimno, ciepłe.",,70,-197,-429
Futro 2,"1m kwadr., lis, +1 KON w nocy, gdy jest zimno, b. ciepłe.",,70,-198,-431
Giezło,"(Luźna koszula kobieca z cienkiego płótna, często z haftem)",,70,-198,-432
Jedwab,"1m2., niezabarwione, ale dobra robota.",,71,-199,-433
Juta (płótno),"1m2., niezabarwione, ale dobra robota.",,71,-199,-435
Kaftan długi,,,71,-200,-436
Kaftan jedwabny,,,71,-201,-437
Kamizela,Bez ozdób.,,71,-201,-438
Kapelusz,0 pp.,,72,-202,-440
Konopie (płótno),"1m2., niezabarwione, ale dobra robota.",,72,-202,-441
Koszula,Zwykła,,72,-203,-442
Len (płótno),1 metr kwadratowy.,,72,-204,-444
Medalion,"Srebrny, na srebrnym łańcuszku, otwierany.",,72,-204,-445
Muślin,"Lekka, cienka tkanina jedw. (rzadko wełn.); 1m2.; dobra robota.",,73,-205,-446
Nakrycie głowy,"Ze złotego brokatu, bogato zdob. Wyszywane, z 4-ma małymi perełkami.",,73,-205,-448
Onuce,"Para ciepłych, grubych skarpet.",,73,-206,-449
Opaska na czoło,Haftowana szmatka bawełniana.,,73,-207,-450
Ostrogi,"Coś, czego konie Nie lubią. Można je przymocować tylko do butów jeździeckich.",,73,-207,-451
Part,Grube płótno konopne lub lniane (przymiotnik: parciany; zgrzebny). 1m2.,,74,-208,-453
Pas,Skórzany.,,74,-208,-454
Pendent,Pas zakładany przez ramię do noszenia na nim broni bialej.,,74,-209,-455
Pierścień srebrny,Bez kamienia.,,74,-210,-457
Pierścień złoty,Bez kamienia.,,74,-210,-458
Płaszcz,,,75,-211,-459
Płaszcz z dobrego futra,,,75,-211,-461
Płaszcz z dobrej tkaniny,,,75,-212,-462
Pończochy,,,75,-213,-463
Rękawice skórzane,1pp.,,75,-213,-464
Sandały,,,76,-214,-466
Skóra,"Zajęcza, wyprawiona. 1m2.",,76,-214,-467
Skóra Kritha,"1 metr kwadratowy, zielona lub brązowa, 1 pp.",,76,-215,-468
Skórzana kurta,"1 pp., jeleń, bez kaptura.",,76,-216,-470
Spinka,Zwykła.,,76,-216,-471
Spodnie,Zwykłe.,,77,-217,-472
Srebrna lama,"Tkanina o osnowie jedwabnej i wątku z nici srebrnej. 1m2, bez wzorów.",,77,-217,-474
Suknia zwykła,,,77,-218,-475
Szal,"Ciepły, wełniany.",,77,-219,-476
Szarfa 1,"Jedwabna, z wzorem.",,77,-219,-477
Szarfa 2,"Szeroka, wysadzana 20-ma małymi szmaragdami i szafirami, bogato haft. Ze złotogłowiu.",,78,-220,-479
Szata zdobiona,,,78,-220,-480
Szata zwykła,,,78,-221,-481
Tanie świecidełka,"Wisiorki, Naszyjniki, obrączki.",,78,-222,-483
Tunika na zbroję,,,78,-222,-484
Ubranie,Osoby bogatszej.,,79,-223,-485
Ubranie (całe),"Bez kaptura, przyzwoite, 0 pp.., z pasem.",,79,-223,-487
Wełna,"1m kwadr, + 1 KON w nocy, gdy zimno i w przeziębieniu. Ciepłe.",4000,79,-224,-488
Wojłok,1m2. (Wojłok to kiepski filc z odpadów wełny i sierści).,,79,-225,-489
Zarękawice skórzane,1 pp. Mogą służyć jako osłona przed szponami ptaków łownych.,,79,-225,-490
Złotogłów,"Tkanina o osnowie jedw. i wątku ze zł. nici. In. złota lama. Czysta, 1m2.",,80,-226,-492
KTG,Rośliny,,80,-226,-493
Aloes,"Latem. Wyciąg - Na przeczyszczenie, pomaga też utrzymać ""formę"" latem.",,80,-227,-494
Aloes + kłącze perzu,"Na przeczyszczenie, 10 porcji. Patrz też: Aloes i Perz.",,80,-228,-496
Babka,"Zatrzymuje krwotok, przyspiesza gojenie. Można użyć przy chorobie żołądka.",,80,-228,-497
Bez czarny,"Owoc - na przeczyszczenie, przeziębienia. Kwiat na temperaturę. Kwiat późną wiosną.",,81,-229,-498
Brzoza,Kora to składnik odtrutek. Napar z liści jest stosowany przeciw gorączce i przeziębieniom.,,81,-229,-500
Czarna jagoda,Owoc hamuje biegunkę. Smaczne. Cena za jeden kg.,,81,-230,-501
Dąb - kora,Okłady na ranę. Napar jest dobry przeciw biegunce.,,81,-231,-502
Drewno brzozowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,81,-231,-503
Drewno cisowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,82,-232,-505
Drewno dębowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,82,-232,-506
Drewno hebanowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,82,-233,-507
Drewno jaworowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,82,-234,-509
Drewno jesionowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,82,-234,-510
Drewno lipowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",300,83,-235,-511
Drewno modrzewiowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,83,-235,-513
Drewno sandałowcowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,83,-236,-514
Drewno sosnowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,83,-237,-515
Drewno świerkowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,83,-237,-516
Drewno żelazne,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,84,-238,-518
Dzika róża,Soki owoców działają przeciwgorączkowo i przeciwprzeziębieniowo. Za litr soku.,,84,-238,-519
Efrys,Leczy rany (+3 do 10 KON); Porostopodobne nitki suszy się i gotuje przez 5 h.,,84,-239,-520
Elemaria,Wygląda jak ciemnofioletowa trawa. Miewa żółte kwiaty. Silny narkotyk halucynogenny.,,84,-240,-522
Głóg,Kwiat głogu pomaga na serce. Późna wiosna.,,84,-240,-523
Ifryt,Do odtrutek i antytoksyn.,,85,-241,-524
Isharteria,"Cały rok. Uspakaja. Na nerwicę, szał, nadaktywność, bezsenność. B. silny środek.",,85,-241,-526
Jałowiec,Owoc pomaga na Nerki i wątrobę.,,85,-242,-527
Jemioła,Wywar na krzepnięcie krwi; ziele - na serce. Okres od jesieni do wczesnej wiosny.,,85,-243,-528
Korzeń mydelnicy,,,85,-243,-529
Krwawnik,"Na krzepnięcie krwi (tamuje ciągle krwotoki, np. z nosa). Na wątrobę. Zbiera się latem.",,86,-244,-531
Księżycowe Ziele,"Szalej, 10 porcji",,86,-244,-532
Letteria,"Na przeczyszczenie, żołądek. Składnik odtrutek. Duży krzew z małymi, okrągłymi listkami.",,86,-245,-533
Likenia,"Napar powoduje po 2-5 min ok. 10 min. sklerozę, Tylko stawy i bagna, wiosną.",,86,-246,-535
Lipa,Kwiat pomaga na żołądek; jest dobry przeciw gorączce i przeziębieniom.,,86,-246,-536
Lotos Czarny lub biały,"Rośnie tylko w obszarach tropikalnych. Czarny zabija, Biały budzi.",,87,-247,-537
Maliny,Sok dobry na przeziębienie i gorączkę. Cena za jeden kg.,,87,-247,-539
Merfilia,"Tylko jesienią. Regularne okłady z liści czasem przywracają wzrok, 10 porcji.",,87,-248,-540
Mięta,"1 m. wys., roztarta pachnie. Wiosna-jesień. Odkaża rany. Napar uspokaja.",,87,-249,-541
Nefai,"Potężne zioło. Za dużo - zabija. Sam zapach leczy ciało i duszę, serce i rozum.",,87,-249,-542
Nokitia,"Po zaparzeniu +1 KON; 10porcji. Na skrajach lasów i łąk. Małe, szarozielone roślinki.",,88,-250,-544
Onhe,Czerwone kwiaty rosnące w pękach na szczytach wielkich drzew onhe.,,88,-250,-545
Orczyk Górski (kwiat),"Rzadki, piękny kwiat górski, błękitny, mały, zapach pomaga trzeźwo myśleć.",,88,-251,-546
Orzechy,"Na sklerozę, cena za jeden kg.",,88,-252,-548
Perz,Kłącze jest na przeczyszczenie. Wiosna - jesień.,,88,-252,-549
Piołun,"Wywary dobre na żołądek, wątrobę, 10 porcji.",,89,-253,-550
Pokrzywa,"Liść - na wątrobę, hamuje krwawienie, moczopędny, przeciw biegunce.",,89,-253,-552
Poziomka (liście),Wywar z liści pomaga na nerki.,,89,-254,-553
Ranea,"Zaparzyć i obwinąć ranę - KON rośnie szybciej. Duża, paprotkowata.",,89,-255,-554
Rumianek,"Napar z kwiatów - na żołądek; też uspokaja; przeciw biegunce, gorączce, przeziębieniom.",,89,-255,-555
Srebrne tulipany,Niezwykle rzadkie kwiaty ozdobne.,,90,-256,-557
Szalej,Patrz: Księżycowe Ziele.,,90,-256,-558
Szałwia,"Liście odkażają rany. Napar z liści - na żołądek, przeciw biegunce. Świetna odtrutka.",,90,-257,-559
Tasznik,Wywar dobry na krzepnięcie krwi. Tylko wiosna i lato.,,90,-258,-561
Tulipan królewski,Kwiat ozdobny,,90,-258,-562
Tymianek,Odkaża rany. Wiosna i wczesne lato.,,91,-259,-563
Wierzba - kora,Okład przyspiesza gojenie. Napar działa przeciwgorączkowo.,,91,-259,-565
Złota lilia wodna,"Kwiat ozdobny, wodny.",,91,-260,-566
KTG,Jedzenie,,91,-261,-567
Bigos na świńskim ryju,Potrawa ciepła.,,91,-261,-568
Bita śmietana,"Potrawa zimna, rzadkość.",,92,-262,-570
Bitki Cielęce w sosie własnym,Potrawa ciepła.,,92,-262,-571
Botwinka,"Potrawa ciepła, patrz też: Zupy.",,92,-263,-572
Danie w karczmie,Przeciętne.,,92,-264,-574
Danie w karczmie,Ziemniaki piecz. +sałatka +kurczę piecz. +grochowa + sos + owoce + sok.,,92,-264,-575
Desery owocowe,Potrawa zimna,,93,-265,-576
Dżin,Puchar 1/4 litra.,,93,-265,-578
Fasolka po keharsku,Potrawa ciepła,,93,-266,-579
Flaki,"Potrawa ciepła, patrz też: Zupy.",,93,-267,-580
Galareta ze świńskich nóżek,"Potrawa zimna, z octem",,93,-267,-581
Grochowa,"Potrawa ciepła, patrz też: Zupy.",,94,-268,-583
Gulasz,Potrawa ciepła,,94,-268,-584
Herbata,Kubek 1/4 litra.,,94,-269,-585
Jajecznica,Potrawa ciepła,,94,-270,-587
Jajka na bekonie,Potrawa ciepła,,94,-270,-588
Karp w galarecie,Potrawa zimna,,95,-271,-589
Kawa,Kubek 1/4 litra.,,95,-271,-591
Kluski,Potrawa ciepła,,95,-272,-592
Kurczę pieczone,Potrawa ciepła (1/4 całego kurczaka),,95,-273,-593
Legumina,Potrawa zimna,,95,-273,-594
Miód Pitny,Puchar 1/4 litra.,,96,-274,-596
Mleko,Kubek 1/2 litra.,,96,-274,-597
Naleśniki z serem,Potrawa ciepła,,96,-275,-598
Okowita,Kubek 1/4 litra.,,96,-276,-600
Pasztet zajęczy,Potrawa zimna,,96,-276,-601
Pieczona kiełb. z musztardą,Potrawa ciepła,,97,-277,-602
Pierogi,Na ciepło lub na zimno.,,97,-277,-604
Piwo,Kufel 1/2 litra.,,97,-278,-605
Pomidorowa z kluskami,"Potrawa ciepła, patrz też: Zupy.",,97,-279,-606
Poncz,Kubek 1/4 litra.,,97,-279,-607
Przyprawy,Dodatek do dania,,98,-280,-609
Rosół kurzy,"Potrawa ciepła, patrz też: Zupy",,98,-280,-610
Sałatka warzywna,Mizeria z pomidorami,,98,-281,-611
Samogon,Kubek 1/4 litra.,,98,-282,-613
Schabowy,Potrawa ciepła,,98,-282,-614
Słowicze języki,"Potrawa zimna, rzadkość",,99,-283,-615
Sosy,Dodatek do dania,,99,-283,-617
Tuńczyk w oleju,Potrawa zimna,,99,-284,-618
Udziec barani,Potrawa ciepła,,99,-285,-619
Wędliny,Dodatek do dania,,99,-285,-620
Węgorz wędzony,"Potrawa zimna, rzadkość",,100,-286,-622
Wino,Puchar 1/4 litra.,,100,-286,-623
Ziemniaki piecz. lub gotowane,Dodatek do dania,,100,-287,-624
Zupa,,,100,-288,-626
Żeberka,Potrawa ciepła,,100,-288,-627
Żurek z kiełbaskami,"Potrawa ciepła, patrz też: Zupy",,101,-289,-628
Bób,1kg.,,101,-289,-630
Buraki,Psuje się po 30 dniach; potrzeba urozmaicenia. 1kg.,,101,-290,-631
Cebula,Psuje się po 30 dniach; potrzeba urozmaicenia. 1kg.,1,101,-291,-632
Chleb,Psuje się po 6 dniach; potrzeba urozmaicenia. Kilogramowy bochenek.,,101,-291,-633
"Ciasta, ciasteczka",Psuje się po 3 dniach; potrzeba urozmaicenia. 1kg.,,102,-292,-635
Cukier,Nieoczyszczony. 1kg.,,102,-292,-636
Cynamon,1kg.,,102,-293,-637
Cytryna,1kg.,7,102,-294,-639
Czereśnie,1kg.,,102,-294,-640
Czosnek,"Warkocz ok. 0,5 kg.",3,103,-295,-641
Dżin,"Trunek, może mieć kilka odmian (różne ceny). 1l.",,103,-295,-643
Fasola,1kg.,,103,-296,-644
Figi,"1kg. Dużo zależy, gdzie są sprzedawane.",,103,-297,-645
Goździki,1kg. Przyprawa.,,103,-297,-646
Groszek,1kg.,,104,-298,-648
Gruszki,1kg.,,104,-298,-649
Grzyby,"Patrz: Prawdziwki, rydze, Podgrzybki, Kurki, Trufle, Pieczarki, Olszówki, Kanie, Maślaki.",,104,-299,-650
Herbata,Na 40 litrów (paczuszka waży ok. 20 dkg.),,104,-300,-652
Imbir,1kg.,,104,-300,-653
Jabłka,1kg.,,105,-301,-654
Jagody,"1kg, cena dotyczy obszarów, gdzie w miarę o nie łatwo w okolicznych lasach.",,105,-301,-656
Jaja,10 sztuk. Po tygodniu lepiej nie jeść (i nie zbliżać się).,,105,-302,-657
Jałowcówka,"Trunek, może mieć kilka odmian (różne ceny). 1l.",,105,-303,-658
Jeżyny,"1kg, cena dotyczy obszarów, gdzie w miarę o nie łatwo w okolicznych lasach.",,105,-303,-659
Kalafior,1 główka ok. 1kg.,,106,-304,-661
Kanie,"1kg, cena dotyczy obszarów, gdzie w okolicznych lasach rosną grzyby.",,106,-304,-662
Kapusta,1kg.,,106,-305,-663
Kapusta kiszona,1kg.,,106,-306,-665
Kartofle,Patrz: Ziemniaki,,106,-306,-666
Kawa,Na 10 litrów (paczuszka waży ok. 20dkg.),,107,-307,-667
Kiełbasa zwykła,1kg.,,107,-307,-669
Kompot lub sok,1l.,,107,-308,-670
Koper,1kg.,,107,-309,-671
Koźlaki,"1kg, cena dotyczy obszarów, gdzie w okolicznych lasach rosną grzyby.",,107,-309,-672
Kukurydza,3 kolby (około 1kg),,108,-310,-674
Kurki,"1kg, cena dotyczy obszarów, gdzie w okolicznych lasach rosną grzyby.",,108,-310,-675
Liście lauru,1kg,,108,-311,-676
Liście osne,Przyprawa.,,108,-312,-678
Maliny,"1kg, cena dotyczy obszarów, gdzie w miarę o nie łatwo w okolicznych lasach.",,108,-312,-679
Marchew,1kg.,,109,-313,-680
Maślaki,"1kg, cena dotyczy obszarów, gdzie w okolicznych lasach rosną grzyby.",,109,-313,-682
Mąka,1kg.,,109,-314,-683
Mięso,"Psuje się po 5 dniach; potrzeba urozmaicenia. Może być gotowane, pieczone itd..",,109,-315,-684
Miód pitny,"Trunek, może mieć kilka odmian (różne ceny). 1l.",,109,-315,-685
Mleko,Psuje się po 4 dniach. 1l.,,110,-316,-687
Mleko zsiadłe,1l.,,110,-316,-688
Mrożone mięso,"Dostępne tylko tam, gdzie jest lód. Psuje się 3 dni po odmrożeniu; potrzeba urozmaicenia.",,110,-317,-689
Ogórki,1kg.,,110,-318,-691
Ogórki kiszone,1 beczka 5kg.,,110,-318,-692
Okowita,"Trunek, może mieć kilka odmian. 1l.",,111,-319,-693
Olej rzepakowy,1l.,,111,-319,-695
Olszówki,"1kg, cena dotyczy obszarów, gdzie w okolicznych lasach rosną grzyby.",,111,-320,-696
Orzechy drzewne,1kg.,,111,-321,-697
Orzechy laskowe,1kg.,125,111,-321,-698
Orzechy ziemne,1kg.,,112,-322,-700
Owies,Dla koni. 5kg.,,112,-322,-701
Papryka,1kg.,12,112,-323,-702
Pieczarki,1kg.,,112,-324,-704
Pieprz,1kg,20,112,-324,-705
Pietruszka,1kg.,,113,-325,-706
Piwo ciemne,"Trunek, może mieć kilka odmian. 1l.",,113,-325,-708
Piwo jasne,"Trunek, może mieć kilka odmian. 1l.",,113,-326,-709
Placki,Psuje się po 4 dniach. 1kg.,,113,-327,-710
Podgrzybki,"1kg, cena dotyczy obszarów, gdzie w okolicznych lasach rosną grzyby.",,113,-327,-711
Pomidory,1kg.,,114,-328,-713
Poncz,1l.,,114,-328,-714
Pora,1kg.,,114,-329,-715
Pora,1kg.,,114,-330,-717
Porzeczki,1kg.,,114,-330,-718
Poziomki,"1kg, cena dotyczy obszarów, gdzie w miarę o nie łatwo w okolicznych lasach.",,115,-331,-719
Prawdziwki,"1kg, cena dotyczy obszarów, gdzie w okolicznych lasach rosną grzyby.",,115,-331,-721
Pyry,Patrz: Ziemniaki.,,115,-332,-722
Rabarbar,1 kg.,,115,-333,-723
Racja podróżna 1) podstawowa,"Suchary, suszone lub mrożone mięso, woda. Niezbyt smaczne i monotonne.",,115,-333,-724
Racja podróżna 2) przeciętna,"Podstawowa racja wzbogacona o wędliny, warzywa, zboża, jabłka.",,116,-334,-726
Racja podróżna 3) bogata,"Racja bogata, lecz nietrwała: chleb, wino lub piwo i woda, owoce, warzywa, mięsa, ryby.",,116,-334,-727
Ryby,Psuje się po 3 dniach; potrzeba urozmaicenia. 1kg.,,116,-335,-728
Rydze,"1kg, cena dotyczy obszarów, gdzie w okolicznych lasach rosną grzyby.",,116,-336,-730
Ryż,1kg.,,116,-336,-731
Rzepa,1kg.,,117,-337,-732
Rzodkiewka,1kg.,,117,-337,-734
Sałata,1kg. (ok. 6-8 główek),,117,-338,-735
Samogon,"Trunek, może mieć kilka odmian, (koniak lub brandy). 1l.",,117,-339,-736
Seler,1kg.,,117,-339,-737
Ser (żółty),1kg.,,118,-340,-739
Słonecznik,1 talerz.,,118,-340,-740
Solony śledź,1kg (3 śledzie).,,118,-341,-741
Sól,1kg,5,118,-342,-743
Suchary,Psuje się dzień po namoczeniu; potrzeba urozmaicenia. 1kg.,,118,-342,-744
Suszone mięso,Psuje się 10 dni po namoczeniu; potrzeba urozmaicenia. 1kg.,,119,-343,-745
Szafran,1kg.,,119,-343,-747
Szczypior,1kg. (ok. 6 pęczków),,119,-344,-748
Śliwki,1kg.,,119,-345,-749
Śmietana,1l.,,119,-345,-750
Trufle,1kg.,,120,-346,-752
Truskawki,1kg.,,120,-346,-753
Twaróg,"Po dwóch dniach suchszy, po 5 się psuje; potrzeba urozmaicenia.1kg.",,120,-347,-754
Tytoń,1kg.,,120,-348,-756
Wędliny,1kg.,,120,-348,-757
Wino białe,"Trunek, może mieć kilka odmian (różne ceny). 1l.",,121,-349,-758
Wino czerwone,"Trunek, może mieć kilka odmian (różne ceny). 1l.",,121,-349,-760
Winogron,1kg.,,121,-350,-761
Wiśnie,1kg.,,121,-351,-762
Woda,Pitna,,121,-351,-763
Ziemniaki,Psuje się po pół roku; potrzeba urozmaicenia. 1kg.,,122,-352,-765
Szpinak,1kg.,10,122,-352,-766
KTG,Towary,,122,-353,-767
Agat,"10g., bez skazy.",,122,-354,-769
Alabaster (czysty minerał),"1kg, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,122,-354,-770
Ametyst,"10g., bez skazy.",,123,-355,-771
Beryl,"10g., bez skazy.",,123,-355,-773
Brylant,"10g., bez skazy.",,123,-356,-774
Diament,"10g., bez skazy.",,123,-357,-775
Drewno akacjowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,123,-357,-776
Drewno brzozowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,124,-358,-778
Drewno cisowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,124,-358,-779
Drewno dębowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,124,-359,-780
Drewno hebanowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,124,-360,-782
Drewno jaworowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,124,-360,-783
Drewno jesionowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,125,-361,-784
Drewno lipowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,125,-361,-786
Drewno modrzewiowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,125,-362,-787
Drewno sandałowcowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,125,-363,-788
Drewno sosnowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,125,-363,-789
Drewno świerkowe,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,126,-364,-791
Drewno żelazne,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,126,-364,-792
Efaril,10g. (niezwykle twardy),,126,-365,-793
Jaspis,"10g., bez skazy.",,126,-366,-795
Koral,"10g., bez skazy.",,126,-366,-796
Korzeń mydelnicy,,,127,-367,-797
Kość słoniowa,"10g., bez skazy.",,127,-367,-799
Kryształ górski,"10g., bez skazy.",,127,-368,-800
Krzem,"1t, stan: ok. Cena zależna od miejsca i jakości.",,127,-369,-801
Morski Kamień,"10g., bez skazy.",,127,-369,-802
Opal,"10g., bez skazy.",,128,-370,-804
Perły,"Jedna, 10g., bez skazy.",,128,-370,-805
Platyna,10g.,,128,-371,-806
Porcelana,"1kg, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,128,-372,-808
Rubin,"10g., bez skazy.",,128,-372,-809
Ruda aluminium,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,129,-373,-810
Ruda cynku,"1kg, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",2250,129,-373,-812
Ruda fosforu,"1kg, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",700,129,-374,-813
Ruda miedzi,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,129,-375,-814
Ruda niklu,"1kg, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,129,-375,-815
Ruda ołowiu,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,130,-376,-817
Ruda siarki,"1kg, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,130,-376,-818
Ruda żelaza,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",890,130,-377,-819
Smoła,"Zwykle robiona gwoli potrzeby z węgla, torfu i drewna. Tu: 10 litrów, bez kadzi.",,130,-378,-821
Sól,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,130,-378,-822
Srebrne tulipany,Niezwykle rzadkie kwiaty ozdobne.,,131,-379,-823
Srebro,10g. (monety mają domieszkę i jest w nich 20g. srebra.),,131,-379,-825
Szafir,"10g., bez skazy.",,131,-380,-826
Szmaragd,"10g., bez skazy.",,131,-381,-827
Topaz,"10g., bez skazy.",2000,131,-381,-828
Torf,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,132,-382,-830
Tulipan królewski,Kwiat ozdobny,,132,-382,-831
Węgiel antracyt,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,132,-383,-832
Węgiel brunatny,"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,132,-384,-834
Węgiel czarny (kamienny),"1t, stan: ok. Cena zależna od miejsca (obfitowanie w surowce).",,132,-384,-835
Wojłok,1m2. (Wojłok to kiepski filc z odpadów wełny i sierści).,,133,-385,-836
Wytopiona miedź,"1kg. Jak wytopy, ok. 2* droższa od rudy i zal. od jakości wytopu.",,133,-385,-838
Wytopiona stal,1kg. Zależy bardzo od jakości wytopu.,,133,-386,-839
Wytopione żelazo,"1kg. Jak wytopy, ok. 2* droższa od rudy i zal. od jakości wytopu.",,133,-387,-840
Ziemia,Hektar dobrej ziemi uprawnej za miastem. Cena zależy bardzo od miejsca i jakości ziemi.,,133,-387,-841
Złota lilia wodna,"Kwiat ozdobny, wodny.",,134,-388,-843
Złoto,10g. (monety mają domieszkę i jest w nich 10 g. złota.,,134,-388,-844
Żelazo,Patrz: Wytopione żelazo lub Ruda żelaza.,,134,-389,-845
KTG,Zwierzęta,,134,-390,-847
Baran,12R.,,134,-390,-848
Bineth,Patrz: Muł.,,135,-391,-849
Byk,Płodny. 25R niesmacznego mięsa.,,135,-391,-851
Cielę,6 miesięcy. 6R.,,135,-392,-852
Drób,"1R, żywi się sam, żyje do pół roku.",,135,-393,-853
Dzik,Oczywiście martwy. 10R.,,135,-393,-854
Gęś,1R,,136,-394,-856
Gołąb,1/2R,,136,-394,-857
Gołąb pocztowy,1/2R. Wytrenowany do przenoszenia wiadomości.,,136,-395,-858
Kapłon,(Młody kogut wykastrowany dla smaczniejszego mięsa). 1R.,,136,-396,-860
Kogut,Pieje.,,136,-396,-861
Koń bojowy ciężki,Z uposażeniem. Szkolony do zachowania względnego spokoju w czasie bitwy.,,137,-397,-862
Koń bojowy lekki,Z uposażeniem. Szkolony do zachowania względnego spokoju w czasie bitwy.,,137,-397,-864
Koń bojowy średni,Z uposażeniem. Szkolony do zachowania względnego spokoju w czasie bitwy.,,137,-398,-865
Koń chłopski,"Przec.18km/h, max 45 km/h, 20R. Podczas bitwy płoszy się łatwo, nie jest też zbyt szybki.",,137,-399,-866
Koń pociągowy,Z chomątem i uposażeniem.,8000,137,-399,-867
Koń wierzchowy,Bez siodła i innego uposażenia.,,138,-400,-869
Koń z uposażeniem do jazdy,"W uposażeniu: uzda, wędzidło, lejce, popręgi, puśliska, strzemiona, derka, dobre siodło.",,138,-400,-870
Kot,"1R, szybki, łowi gryzonie, dość inteligentny",,138,-401,-871
Kot,"Domowy, ""ozdobny""",,138,-402,-873
Koza,"10R, raz dziennie mleko, często uparta.",,138,-402,-874
Krowa,"Może mieć mleko, 20R. Dobra jałówka.",,139,-403,-875
Kucyk,"Nosi do 100kg, 10R, szybszy od osiołka.",,139,-403,-877
Kura,Nioska.,,139,-404,-878
Kuropatwa,Oczywiście martwa. 1R.,,139,-405,-879
Muł albo Bineth,"20R, nieco wolniejsze od konia, noszą do 300kg.",,139,-405,-880
Osiołek,"Nosi do 100kg, 14R, wolniejszy od kucyka.",,140,-406,-882
Owca,"10R, dwa razy do roku wełna.",,140,-406,-883
Perliczka,Martwa. 1/2R.,,140,-407,-884
Pies,"Ok. 7R, szybki, dość inteligentny.",,140,-408,-886
Pies bojowy,6R. Dobrze szkolony.,,140,-408,-887
Pies myśliwski,6R. Dobrze szkolony.,,141,-409,-888
Pies stróżujący,6R,,141,-409,-890
Ptak śpiewający,Kanarek,,141,-410,-891
Slant,"15R, wolny, ale może być zwierzęciem bojowym. Nosi do 100kg.",,141,-411,-892
Sokół,"Młody, niewytresowany.",,141,-411,-893
Sokół (wyszkolony),"3R, szybki, wytresowany do polowań. Z kapturem.",,142,-412,-895
Świnia,"20R, żarłoczne i brudne",,142,-412,-896
KTG,Usługi,,142,-413,-897
